ABN,Charity_Name,Registration_Status,Address_Line_1,Address_Line_2,Town_City,State,Postcode,Municipality,Charity_Size,BRC,Main_Activity,Animal_Protection,Aged_Care_Activities,Civic_and_advocacy_activities,Culture_and_arts,Economic_social_and_community_development,Emergency_Relief,Employment_and_training,Environmental_activities,Grant_making_activities,Higher_education,Hospital_services_and_rehabilitation_activities,Housing_activities,Income_support_and_maintenance,International_activities,Law_and_legal_services,Mental_health_and_crisis_intervention,Primary_and_secondary_education,Religious_activities,Research,Social_services,Sports,Other_Education,Other_health_service_delivery,Other_recreation_and_social_club_activity,Other_philanthropic_intermediaries_and_voluntarism_promotion,Other_Activity,Other_activity_description,Operates_in_ACT,Operates_in_NSW,Operates_in_NT,Operates_in_QLD,Operates_in_SA,Operates_in_TAS,Operates_in_VIC,Operates_in_WA,Operates_Overseas,Charity_activities_and_outcomes_helped_achieve_charity_purpose,General_Community_Australia,Females,Males,Early_Childhood_under_6,Children_6___under_15,Youth_15___under_25,Adults_25_to_under_65,Adults___65_and_over,ATSI,GLBTI,Migrants_Refugees_or_Asylum_Seekers,Other_charities,Other_beneficiaries_not_listed,Other_beneficiaries_description,Overseas_communities_or_charities,People_in_rural_regional_remote_communities,Families,Financially_disadvantaged_people,People_at_risk_of_homelessness,People_with_Chronic_or_Terminal_Illness,People_with_Disabilities,Pre_or_Post_Release_Offenders_and_Families,Unemployed_Persons,Veterans_or_their_families,Victims_of_crime,Victims_of_Disasters,Culturally_and_Linguistically_Diverse,Provided_support_services_funded_by_NDIS,Intend_provide_support_funded_by_NDIS,Staff_Full_time,Staff_Part_time,Staff_Casual,Staff_Volunteers,Government_grants,Donations_and_bequests,All_other_revenue,Total_revenue,Other_income,Total_gross_income,Employee_expenses,Interest_expenses,Grants_and_donations_made_for_use_in_Australia,Grants_and_donations_made_for_use_outside_Australia,All_other_expenses,Total_expenses,Net_surplus_deficit,Total_current_assets,Non_current_loans,Other_non_current_assets,Total_non_current_assets,Total_assets,Total_current_liabilities,Non_current_liabilities,Other_non_current_liabilities,Total_non_current_liabilities,Total_liabilities,Net_assets_liabilities,Other_Comprehensive_Income__if_applicable_,Total_Comprehensive_Income,DGR_Status,Website
24981930997,The Trustee For The State Trustees Australia Foundation Open Fund,REG,GPO Box 1461,,Melbourne,VIC,3001,Melbourne,Small,N,Grant-making activities,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,N,N,For general charitable purposes,Y,N,N,N,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,N,N,N,N,N,,,0,0,0,0,0,0,23218,23218,1299,24517,0,0,20036,0,8858,28894,-4377,0,0,0,0,705804,0,0,0,0,0,705804,0,-4377,N,
25004463334,National Heart Foundation Of Australia (victorian Division),REG,L 12 500 Collins St,,Melbourne,VIC,3000,Melbourne,Large,N,Other health service delivery,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,N,N,"1. to reduce premature death and suffering from heart, stroke and blood vessel and cardiovascular disease.  2. to save the lives and make a difference to the heart health of all Australians.  3. to fund vital research, develop guidelines for health professionals, support patient care and help Australians, in particular in Victoria to live healthier lifestyles.",Y,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,,,16,18,2,150,1316223,13646049,813636,15775908,236867,16012775,2943828,0,9096017,0,4001753,16041598,-28823,3562969,0,267119,267119,3830088,3353764,0,29199,29199,3382963,447125,0,-28823,Y,http://www.heartfoundation.org.au
25060265541,The Trustee For G F Matthews Estate,REG,Level 28,140 William St,Melbourne,VIC,3000,Melbourne,Small,N,Social services,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Donation to gift deductible recipient,N,N,N,N,N,N,Y,N,N,Donation to gift deductible recipient,Y,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,,,0,0,0,0,0,0,67411,67411,0,67411,0,0,55839,0,8788,64627,2784,0,0,0,0,970370,0,0,0,0,67411,902959,0,0,N,
25121748169,Young People In Nursing Homes National Alliance,REG,207 City Road,,Southbank,VIC,3006,Melbourne,Medium,N,Social services,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,,Y,Y,Y,Y,Y,Y,Y,Y,N,"Th Alliance supported individuals with high and complex care needs (YPINH), their health, aged care and disability service providers to ensure YPINH received quality care.The Alliance also conducted activities to raise awareness of the YPINH issue and build capacity with government programs and the broader community to meet the needs of this group.",N,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,N,,N,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,2,1,0,2,428500,40566,7468,476534,6279,482813,230177,0,12000,0,129021,371198,111615,393424,0,0,3746,397170,115428,0,0,26482,141910,255260,0,111615,Y,
25126732451,The Trustee For The Jolimont Foundation,REG,30 Cremorne St,,Cremorne,VIC,3121,Yarra,Small,N,Grant-making activities,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,N,N,"Donated $150,000 in accordance with the foundations objective of assisting underprivileged groups and individuals in our community.",Y,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,,,0,0,0,1,0,0,107488,107488,0,107488,0,0,150000,0,4146,154146,-46658,0,0,0,0,2749595,0,0,0,0,0,2749595,0,0,Y,
25188646275,St Kilda Historical Society Incorporated,REG,Community Room,St Kilda Library,St Kilda,VIC,3182,Port Phillip,Small,N,Culture and arts,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,N,N,We held regular meetings with guest speakers and provided a walking tour which promotes the history of St Kilda.,Y,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,,,0,0,0,8,10307,100,2092,12499,40,12539,0,0,15800,0,10700,26500,-13961,0,0,0,0,21207,0,0,0,0,0,21207,0,0,N,
25258801920,The Trustee For Joseph Kronheimer Estate,REG,Level 2,575 Bourke Street,Melbourne,VIC,3000,Melbourne,Small,N,Grant-making activities,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,N,N,Income distributed in accordance with governing documents,N,N,N,N,N,N,N,N,N,N,N,Y,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,,,0,0,0,0,0,0,6041,6041,0,6041,0,0,2075,0,1845,3920,2121,0,0,0,0,148537,0,0,0,0,0,148537,0,2121,N,
25287360284,Pixel Seed Fund,REG,208 Little Page Street,,Middle Park,VIC,3206,Port Phillip,Small,N,Culture and arts,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,N,N,Our arts grants supported talented mid-career musicians to develop and record their work and expand their audience. These activities helped develop quality performances and make them available to a wider audience.,Y,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,,,0,0,0,1,0,0,2016,2016,0,2016,0,0,10500,0,7141,17641,-15625,0,0,0,0,184375,0,0,0,0,0,184375,0,0,Y,
25299757642,The Trustee For The Good Guys Foundation,VREV,15 Vaughan Street,,Essendon Fields,VIC,3041,Moonee Valley,Large,N,Other philanthropic,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,"The purpose of The Good Guys Foundation is to facilitate The Good Guys Local Giving Program by acting as an intermediary connecting The Good Guys with selected charities that are endorsed by the ATO as Deductible Gift Recipients. The Good Guys Local Giving Program aims to give back to the communities in which the retailer operates by donating 20c from every transaction to local charities that deliver essential programs, services and projects at a grass roots level",Y,Y,Y,Y,Y,Y,Y,Y,N,The Good Guys Foundation provided financial assistance to 129 different charities in FY16. Please refer to The Good Guys & The Good Guys Foundation Doing Good Report for more information: https://www.thegoodguys.com.au/doing-good-report,N,N,N,N,N,N,N,N,N,N,N,Y,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,,,0,0,0,500,0,1023269,0,1023269,212,1023481,0,0,1023269,0,116,1023385,96,11022,0,0,0,11022,0,0,0,0,0,11022,0,96,N,
25451235380,Joyful Korean Church Of Christ Inc.,REG,21 KOOMBA ROAD,,Wantirna,VIC,3152,Knox,Small,N,Religious activities,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,N,N,"The organisation pursued its charitable purposes by facilitating worshipping, witnessing and serving as a fellowship of the Spirit of Christ. Its members meet regularly to hear God's Word, to celebrate the sacraments, to build one another up in love, to share in the wider responsibilities of the Christ, and to serve the world.",Y,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,,,1,0,0,10,0,134193,0,134193,0,134193,32850,0,19548,0,55005,107403,26790,0,0,0,0,37347,0,0,0,0,0,37347,0,0,N,
