ABN,Charity_Name,Registration_Status,Address_Line_1,Address_Line_2,Town_City,State,Postcode,Municipality,Charity_Size,BRC,Main_Activity,Animal_Protection,Aged_Care_Activities,Civic_and_advocacy_activities,Culture_and_arts,Economic_social_and_community_development,Emergency_Relief,Employment_and_training,Environmental_activities,Grant_making_activities,Higher_education,Hospital_services_and_rehabilitation_activities,Housing_activities,Income_support_and_maintenance,International_activities,Law_and_legal_services,Mental_health_and_crisis_intervention,Primary_and_secondary_education,Religious_activities,Research,Social_services,Sports,Other_Education,Other_health_service_delivery,Other_recreation_and_social_club_activity,Other_philanthropic_intermediaries_and_voluntarism_promotion,Other_Activity,Other_activity_description,Operates_in_ACT,Operates_in_NSW,Operates_in_NT,Operates_in_QLD,Operates_in_SA,Operates_in_TAS,Operates_in_VIC,Operates_in_WA,Operates_Overseas,Charity_activities_and_outcomes_helped_achieve_charity_purpose,General_Community_Australia,Females,Males,Early_Childhood_under_6,Children_6___under_15,Youth_15___under_25,Adults_25_to_under_65,Adults___65_and_over,ATSI,GLBTI,Migrants_Refugees_or_Asylum_Seekers,Other_charities,Other_beneficiaries_not_listed,Other_beneficiaries_description,Overseas_communities_or_charities,People_in_rural_regional_remote_communities,Families,Financially_disadvantaged_people,People_at_risk_of_homelessness,People_with_Chronic_or_Terminal_Illness,People_with_Disabilities,Pre_or_Post_Release_Offenders_and_Families,Unemployed_Persons,Veterans_or_their_families,Victims_of_crime,Victims_of_Disasters,Culturally_and_Linguistically_Diverse,Provided_support_services_funded_by_NDIS,Intend_provide_support_funded_by_NDIS,Staff_Full_time,Staff_Part_time,Staff_Casual,Staff_Volunteers,Government_grants,Donations_and_bequests,All_other_revenue,Total_revenue,Other_income,Total_gross_income,Employee_expenses,Interest_expenses,Grants_and_donations_made_for_use_in_Australia,Grants_and_donations_made_for_use_outside_Australia,All_other_expenses,Total_expenses,Net_surplus_deficit,Total_current_assets,Non_current_loans,Other_non_current_assets,Total_non_current_assets,Total_assets,Total_current_liabilities,Non_current_liabilities,Other_non_current_liabilities,Total_non_current_liabilities,Total_liabilities,Net_assets_liabilities,Other_Comprehensive_Income__if_applicable_,Total_Comprehensive_Income,DGR_Status,Website
11004285956,Nurses Memorial Centre,REG,Suite 11 Fawkner Towers,431 St Kilda Road,Melbourne,VIC,3004,Melbourne,Medium,N,Higher education,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,N,N,N,N,N,N,Y,N,N,The Centre continues to focus on providing scholarships to persons in the nursing profession to pursue higher education and monitors their progress periodically. This honours the objective of the Centre being a living memorial to Australian Nurses,N,N,N,N,N,Y,Y,N,N,N,N,N,Y,Nursing professionals,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,0,1,0,15,0,143151,128064,271215,-128212,143003,31321,0,132500,0,73191,237012,-94009,758828,0,0,2100272,2859100,34579,0,0,0,34579,2824521,0,-94009,N,
11036231838,The Trustee For The Foundation For Imaging Research,REG,Brain Research Institute,Neurosciences Building Austin Health,Heidelberg West,VIC,3081,Banyule,Medium,N,Other philanthropic,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,N,N,"Donated to the The Florey Institute of Neuroscience & Mental Health, who clinical and applied research into treatments for brain and mind disorders.",Y,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,,,0,0,0,0,0,0,674068,674068,0,674068,0,0,100000,0,295427,395427,278641,351863,0,0,12555445,12907308,13175,0,0,0,13175,12894133,0,278641,Y,
11049491846,The Trustee For Brand Foundation,REG,Suite 2 Level 11,555 Lonsdale Street,Melbourne,VIC,3000,Melbourne,Small,N,Other philanthropic,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Investment activities,N,N,N,N,N,N,Y,N,N,Investments in unlisted unit trusts and mortgage investment schemes have been entered into to generate income.A variety of donations were provided to deductible gift recipients in order to meet the fund's purpose as described in the table in section 30-15 of the Income Tax Assessment Act 1997.,Y,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,,,0,0,0,0,0,0,86361,86361,0,86361,0,0,60000,0,7066,67066,19295,0,0,0,0,1179997,0,0,0,0,4148,1175849,0,0,Y,
11083080403,Volunteer Fire Brigades Victoria Inc,REG,9/24 Lakeside Drive,,Burwood East,VIC,3151,Whitehorse,Large,N,Civic and advocacy activities,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,N,N,"The principal activities of the Association during the financial year were: 1. To function as a non-profit association whose Members comprise Volunteer Fire Brigades registered by the Country Fire Authority under the Country Fire Authority Act (1958) and its Regulations. 2. To liaise and consult on the operation of the _Ü_Volunteer Charter_Üù in the interests of CFA volunteers about all matters which might reasonably be expected to affect them. The Volunteer Charter is an agreed tripartite commitment between the State of Victoria, the CFA, and CFA Volunteers, committing the State of Victoria and the CFA to consultation with volunteers about all matters which might reasonably be expected to affect volunteers. VBFV represents its Members and CFA Volunteers in that consultation process. 3. To assist in maintaining high morale, ongoing health and welfare of CFA volunteer members and their families 4. Support CFA volunteers experiencing personal financial hardship/crisis by providing small welfare grants that may assist in alleviating stresses impacting on the individual_Ü_s ability to maintain their involvement as a volunteer. 5. Preserve and strengthen CFA_Ü_s community and volunteer based foundations by enabling members of CFA brigades to consider and bring to the notice of CFA all matters affecting their welfare and efficiency (other than questions of discipline and promotion). 6. To promote to CFA volunteers the comprehensive support services available to them including but not limited to: legal assistance, OH&S, equity and diversity, counselling and welfare, training, employment support and compensation for accidents, injuries and illness.7. To develop awareness, respect and support for CFA volunteers and their fundamental and pivotal role in the CFA as a community based, volunteer based fire and emergency service for the people of Victoria.  8. To take any other action as determined by the Association Board consistent with these purposes.9. To maintain and pursue a balanced focus on issues affecting CFA volunteers across all brigades from all risk profiles.",N,N,N,N,N,N,N,N,N,N,N,N,Y,Emergency Services Volunteers,N,N,N,N,N,N,N,N,N,N,N,N,N,,,12,0,6,2500,1814747,70163,219297,2104207,0,2104207,1158531,0,500,0,804409,1963440,140767,972086,0,2454092,2454092,3426178,1078668,0,14018,14018,1092686,2333492,0,140767,N,http://www.vfbv.com.au
11091816085,Friends Of The Helmeted Honeyeater Inc,REG,1217 Macclesfield Rd,,Woori Yallock,VIC,3139,Yarra Ranges,Small,N,Environmental activities,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,,N,N,N,N,N,N,Y,N,N,"FOHH are a volunteer-based NFP group dedicated to conservating the Helmeted Honeyeater bird and other threatened species through habitat conservation and rehabilitation. Our activities are funded through the propogation and sale of indigenous plants from our nursery, grants from various entities, donations and membership. Due to the scale of our activities, we employ nursery staff, a Coordinator of our education/revegetation program and a Coordinator of our volunteers that are funded through our income stream.  We have a community education program and undertake scientific research support for the Helmeted Honeyeater - Victoria's Bird Emblem.",Y,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,,,0,3,1,83,152198,10885,34448,197531,0,197531,108898,0,2539,0,39658,151095,46436,0,0,0,0,192940,0,0,0,0,67295,125645,0,0,N,
11129790467,Doxa Social Club Incorporated,REG,Ground Floor,355 Spencer Street,West Melbourne,VIC,3003,Melbourne,Large,N,Other philanthropic,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Social Club,N,N,N,N,N,N,Y,N,N,"Doxa Social Club donated the majority of its profit generated through its trading activities to the Doxa Youth Foundation(DYF), a charity that is engaged in providing assistance to disadvantage young people.  DYF's purpose is to share knowledge, skills and experiences with disadvantaged young people, empowering them to realize their full potential.  DYF supports over 5000 Victorians through its numerous programs it runs every year.",N,N,N,N,Y,Y,N,N,Y,N,N,N,N,,N,N,N,Y,N,N,N,N,N,N,N,N,N,,,21,4,24,0,0,0,16918888,16918888,0,16918888,2821825,243415,3000000,0,10214199,16279439,639449,4578210,0,14240378,14240378,18818588,2819463,4028027,256588,4284615,7104078,11714510,0,639449,N,
11141476364,Bundoora Extended Care Centre Preston Auxiliary,REG,Bundoora Extended Care Centre,1231 PLenty Road,Bundoora,VIC,3083,Whittlesea,Small,N,Hospital services and rehabilitation activities,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,N,N,To raise money to assist the purchase of equipment for rehabilitation of patients with various illnesses,Y,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,,,0,0,0,8,0,262,0,262,21202,21464,0,0,24685,0,6515,31200,-9736,0,0,0,0,43181,0,0,0,0,31200,11981,0,0,Y,
11165256436,The Legacy Foundation Of Victoria Inc,REG,"Legacy House, 293 Swanston Street Walk",PO Box 4312,Melbourne,VIC,3001,Melbourne,Small,N,Primary and secondary education,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,Y,"Assistance to Aged, students and disabled.",N,Y,N,N,N,N,Y,N,N,Financial grants provided from a donation received to assist needy people.,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,,N,N,N,N,Y,Y,Y,N,N,Y,N,N,N,N,D,0,0,0,18,0,115,3054,3169,0,3169,0,0,25807,0,650,26457,-23288,0,0,0,0,116987,0,0,0,0,0,116987,0,0,Y,
11210172815,Hanmaum Korean Presbyterian Church Inc,REG,902A Burke Road,,Canterbury,VIC,3126,Boroondara,Small,N,Religious activities,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,N,N,Korean language based Christian fellowships,Y,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,Y,,,1,0,0,50,0,149988,0,149988,0,149988,66933,0,3200,0,47986,118119,31869,0,0,0,0,85144,0,0,0,0,27660,57484,0,0,N,
11261294621,Box Hill Community Information And Support Inc,REG,"Suite 1, 27 Bank St",Town Hall Hub,Box Hill,VIC,3128,Whitehorse,Small,N,Social services,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,N,N,"Box Hill Community Information and Support Inc provides a free confidential information and referral service to the general community for health, housing, employment, finance, legal and general matters. We treat all our clients with equal respect and in complete confidence regardless of culture, religion, gender and age. We relieve poverty by providing fresh food, groceries and emergency relief to eligible residents in City of Whitehorse who cannot afford basic food, pharmaceuticals, transport or utility bills. Community members can access information and assistance on family and personal matters, social and welfare services, health services, housing and accommodation, consumer affairs, political and civic matters, financial matters, voluntary work and general information.",N,N,N,N,N,N,N,N,N,N,Y,N,Y,"Information services for General community,Anyone on low income needing material aid.",N,N,N,Y,Y,N,N,N,Y,N,N,N,N,,,0,0,0,25,48483,17750,27973,94206,1236,95442,0,0,64675,0,18904,83579,11863,0,0,0,0,92044,0,0,0,0,850,91194,0,0,Y,http://www.boxhillcis.org.au/
11301552846,Victoria's Heritage Restoration Fund Inc,REG,6 Parliament Place,,East Melbourne,VIC,3002,Melbourne,Small,N,Housing activities,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Heritage restoration projects,N,N,N,N,N,N,Y,N,N,Grants to heritage property owners helped fund restoration projects on buildings of historic significance.,Y,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,,,0,0,0,0,105000,0,48435,153435,0,153435,0,0,1345752,0,181543,1527295,-1373860,0,0,0,0,1602967,0,0,0,0,0,1602967,0,0,N,http://www.vhrf.com.au
11311421406,The Trustee For The Thomas Memorial Fund,REG,Level 2,575 Bourke Street,Melbourne,VIC,3000,Melbourne,Small,N,Grant-making activities,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,N,N,Income distributed in accordance with governing document,N,N,N,N,N,N,N,N,N,N,N,Y,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,,,0,0,0,0,0,0,103742,103742,0,103742,0,0,152678,0,17596,170274,-66532,0,0,0,0,2066337,0,0,0,0,0,2066337,0,-66532,N,
11338057025,The Trustee For Edwards Foundation,REG,C/- Bruce Legg & Co,244 Bay Street,Port Melbourne,VIC,3207,Port Phillip,Small,N,Other philanthropic,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,The charity's donations received are invested in shares listed on the Australian stock exchange.  The income of these investments are distributed to registered charities.,N,N,N,N,N,N,Y,N,N,Investment activities.,Y,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,,,0,0,0,2,0,10000,66414,76414,0,76414,0,0,67000,0,126543,193543,-117129,0,0,0,0,1204127,0,0,0,0,0,1204127,0,0,Y,
11538514248,Iglesia De La Profecia Nueva Rosa De Saron Inc,REG,2 Pinnaroo Crescent,,Burnside,VIC,3023,Brimbank,Small,N,Religious activities,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,N,N,"The church works to promote love, peace, unity, giving and helping within the community as well as focusing on promoting family, youth, children_Ü_s well being and togetherness.  It also provides activities to help the church communicate and interact with other local churches to encourage culture and community unity.  Where possible it provides financial and emotional support to all members and community members in need of support in any given circumstance to help them through their hardship.  The church conducts weekly church services, prayers, band practice and musical training, youth group and meetings, as well as community meetings and gathering.  These are all open to the wider community and those in need of support and assistance.  The church has been providing the above services for the last thirty years throughout Melbourne being primarily based in the western suburbs and focused largely on the Spanish community.  However anyone is welcome to join and attend and there is English translation at all events and programs. The church is currently based at 6-8 Henderson Street, North Sunshine, Victoria 3020 and have been since 2009.",Y,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,,,0,0,0,35,0,45133,0,45133,0,45133,0,0,1800,0,28430,30230,14903,0,0,0,0,420954,0,0,0,0,154300,266654,0,0,N,
11552937411,The Trustee For The Silberscher Family Foundation,REG,67 Elizabeth Street,,South Yarra,VIC,3141,Stonnington,Small,N,Grant-making activities,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,,N,N,N,N,N,N,Y,N,N,As a Private Ancillary Fund a minimum of 5% of the Assets of the Foundation were distributed to eligible organisations.,Y,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,,,0,0,0,0,0,0,3067,3067,0,3067,0,0,150130,0,3584,153714,-150647,0,0,0,0,260313,0,0,0,0,0,260313,0,0,Y,
11672023346,The Trustee For Giles Pannon Dalgliesh Fund,REG,Level 2,575 Bourke Street,Melbourne,VIC,3000,Melbourne,Small,N,Grant-making activities,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,N,N,Income distributed in accordance with governing documents,N,N,N,N,N,N,N,N,N,N,N,Y,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,,,0,0,0,0,0,0,10564,10564,0,10564,0,0,7589,0,3011,10600,-36,0,0,0,0,241973,0,0,0,0,0,241973,0,-36,N,http://www.nsacs.org.au
11726998154,The Trustee For Merrin Foundation,REG,24 Barkly Ave,,Armadale,VIC,3143,Stonnington,Medium,N,Research,Y,Y,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,Y,N,N,N,,N,N,N,N,N,N,Y,N,N,Carefully select candidates and provide grants to the regular contact with grantees and reports from them,N,N,N,N,N,Y,Y,N,Y,N,N,Y,N,,N,N,N,N,Y,Y,Y,N,Y,N,N,N,N,N,N,0,0,0,3,0,0,361272,361272,1456292,1817564,0,0,995100,0,46855,1041955,775609,567145,0,0,6173153,6740298,979,0,0,0,979,6739319,0,775609,N,http://packta.org/
11751213676,Christian Cultural Arts Trust,REG,25 Harcourt St,,Doncaster,VIC,3108,Manningham,Small,N,Culture and arts,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,Y,Y,Y,Y,Y,Y,Y,Y,N,Has continued to accept and process donations across Australia for several artistic or cultural projects,Y,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,,,0,0,0,1,0,157400,0,157400,0,157400,0,0,150600,0,5600,156200,1200,0,0,0,0,1500,0,0,0,0,0,1500,0,0,N,
11758002459,The Trustee For Montgomery Foundation,REG,304 Glenferrie Rd,,Malvern,VIC,3144,Stonnington,Small,N,"Economic, social and community development",N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,N,N,Financial donations to other charitable organsisations,Y,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,,,0,0,0,5,0,0,162643,162643,0,162643,0,0,124950,0,4834,129784,32859,0,0,0,0,2299785,0,0,0,0,0,2299785,0,0,Y,
11847238610,The Trustee For Maurice Goldstein Charitable Trust,REG,Level 2,575 Bourke Street,Melbourne,VIC,3000,Melbourne,Small,N,Grant-making activities,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,N,N,Income distributed in accordance with governing documents,N,N,N,N,N,N,N,N,N,N,N,Y,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,,,0,0,0,0,0,0,154,154,0,154,0,0,126,0,39,165,-11,0,0,0,0,3651,0,0,0,0,0,3651,0,-11,N,http://www.realfriends.org.au/
11869432798,The Trustee For The Daryl Cohen Family Charitable Trust,REG,Apartment 1,4 Trawalla Avenue,Toorak,VIC,3142,Stonnington,Small,N,Research,N,Y,N,Y,N,Y,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,Y,N,N,Y,N,,N,N,N,N,N,N,Y,N,N,Financial contribution to selected charities,N,Y,N,N,Y,Y,N,Y,N,N,N,N,N,,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,0,0,0,0,0,0,2006,2006,0,2006,0,0,1630,0,0,1630,376,0,0,0,0,1967,0,0,0,0,0,1967,0,0,N,http://thebigumbrella.org
12004131159,The Camberwell Grammar School,REG,55 Mont Albert Road,,Canterbury,VIC,3126,Boroondara,Large,N,Primary and secondary education,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,N,N,Please see Annual Report.,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,177,33,59,500,5212850,600000,35912362,41725212,0,41725212,23803716,871655,1314,0,14285799,38962484,2762728,4390606,0,146175912,146175912,150566518,59879437,0,587793,587793,60467230,90099288,0,2762728,N,
12005401623,Australian Lithuanian Foundation,REG,44-50 Errol St,,North Melbourne,VIC,3051,Melbourne,Small,N,Culture and arts,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,Y,N,Y,Y,Y,Y,N,N,"Fostered lithuanian cultural activities by subsidising choir concerts, national dancing, books/literature written about Australian/Lithuanian life etc",Y,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,Y,,,0,0,0,5,0,5875,65101,70976,0,70976,0,0,56609,0,2181,58790,12186,0,0,0,0,2191376,0,0,0,0,0,2191376,0,0,N,http://www.iss.org.au
12020693893,The Trustee For The Mona Georgina Harris Perpetual Charitable Trust,REG,,Monash Ave,Balwyn,VIC,3103,Boroondara,Small,N,Emergency relief,N,N,N,N,N,N,Y,N,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,N,N,Assisted a number of people in need of emergency help.,Y,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,,,0,0,0,2,0,0,41311,41311,0,41311,0,0,52000,0,746,52746,-11435,0,0,0,0,747332,0,0,0,0,0,747332,0,0,N,
12084464648,Kimberley Foundation Australia Limited,REG,Level 4,71 Collins Street,Melbourne,VIC,3000,Melbourne,Large,N,Research,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Education,Y,Y,N,N,N,N,Y,Y,N,Research grants awarded to academics working on specific research projects to advance the knowledge and understanding of Kimberley rock art.  The Foundation presents a series of public talks around Australia.,N,N,N,N,N,N,N,N,Y,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,,,0,2,1,0,0,1018646,2913,1021559,121257,1142816,190856,0,268212,0,314422,773490,369326,2431125,0,2139603,2139603,4570728,33044,0,0,0,33044,4537684,0,369326,N,
12100506671,The Trustee For The Amoha Foundation,REG,Unit 5,2-6 Albert Street,Blackburn,VIC,3130,Whitehorse,Small,N,"Economic, social and community development",N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,Y,Y,N,,N,N,N,N,N,N,Y,N,N,"The Amoha Foundation pursues its charitable purposes through making various donations to other charities such as MAD Charitable Fund, IPG Foundation, and The Otis Foundation.",Y,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,,,0,0,0,4,0,0,77742,77742,0,77742,0,0,37500,0,50088,87588,-9846,0,0,0,0,739019,0,0,0,0,0,739019,0,0,Y,https://www.powerassist.org.au/
12109065315,The Trustee For The Australian Student Christian Movement Trust,REG,61 Condell St,,Fitzroy,VIC,3065,Yarra,Small,N,Grant-making activities,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,Y,Y,N,Y,N,N,Y,Y,N,Directly supported the work of the Australian Student Christian Movement - see details of its activities at www.ascm.org.au,N,N,N,N,N,Y,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,,,0,0,0,5,0,1320,28659,29979,0,29979,0,0,30000,0,1315,31315,-1336,0,0,0,0,396800,0,0,0,0,0,396800,0,0,N,
12116512007,The Trustee For Melb Rotary Club Fund,REG,Level 2,575 Bourke Street,Melbourne,VIC,3000,Melbourne,Small,N,Grant-making activities,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,N,N,Income distributed in accordance with governing document,N,N,N,N,N,N,N,N,N,N,N,Y,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,,,0,0,0,0,0,0,8494,8494,0,8494,0,0,6379,0,1838,8218,276,0,0,0,0,143784,0,0,0,0,0,143784,0,276,N,https://ascm.org.au/
12201708163,The Trustee For The Hugh D T Williamson Foundation Trust,REG,"Level 1, 575 Bourke Street",,Melbourne,VIC,3000,Melbourne,Large,N,Grant-making activities,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,N,N,Income distributed in accordance with governing document,N,N,N,N,N,N,N,N,N,N,N,Y,N,"Other charities (Arts, Leadership, Health, Rural/Regional and Education focus)",N,N,N,N,N,N,N,N,N,N,N,N,N,,,0,0,0,0,0,0,2453141,2453141,1887260,4340401,0,0,1637737,0,334038,1971775,2368626,3649558,0,41274310,41274310,44923868,92249,0,0,0,92249,44831619,0,2368626,N,http://www.coh.org.au/
12231977280,The Trustee For Fonda Family Charitable Foundation,REG,382 Alma Road,,Caulfield North,VIC,3161,Glen Eira,Small,N,Social services,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,N,N,Donating to other charities proceeds from investments held by the foundation,N,N,N,N,N,N,N,N,N,N,N,Y,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,,,0,0,0,0,0,0,12681,12681,0,12681,0,0,18200,0,3920,22120,-9439,0,0,0,0,324730,0,0,0,0,0,324730,0,0,Y,
12356254252,Alfred Healthcare Trustsa C H Power Scholarship,REG,Level 2,575 Bourke Street,Melbourne,VIC,3000,Melbourne,Small,N,Grant-making activities,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,N,N,Income distributed in accordance with governing document,N,N,N,N,N,N,N,N,N,N,N,Y,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,,,0,0,0,0,0,0,4441,4441,0,4441,0,0,35842,0,127,35969,-31528,0,0,0,0,67978,0,0,0,0,0,67978,0,-31528,N,http://www.rslvic.com.au
12465501576,The Trustee For Mazda Foundation,REG,211A Wellington Road,,Mulgrave,VIC,3170,Monash,Large,N,Grant-making activities,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Mazda Foundation fundraiser's and then grants money to other Australian charities.,N,N,N,N,N,N,Y,N,N,"We held 2 major fundraising events throughout the year and granted $814,034 to Australian charities.",N,N,N,Y,Y,N,N,Y,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,,,0,0,0,9,0,415475,1017996,1433471,0,1433471,0,0,814034,0,422996,1237030,196441,2986871,0,0,0,2986871,0,0,0,0,0,2986871,0,196441,Y,http://www.geocities.ws/stonyck/
12520407534,J Askew Estate,REG,Level 2,575 Bourke Street,Melbourne,VIC,3000,Melbourne,Small,N,Grant-making activities,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,N,N,Income distributed in accordance with governing document,N,N,N,N,Y,Y,N,N,N,N,N,Y,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,,,0,0,0,0,0,0,92854,92854,0,92854,0,0,61200,0,18291,79491,13363,0,0,0,0,1622847,0,0,0,0,0,1622847,0,13363,N,
12521055615,Hope Centre Incorporated,REG,95 Station Road,,Glenroy,VIC,3046,Moreland,Small,N,Religious activities,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,,N,N,N,N,N,N,Y,N,N,General Community in Glenroy and neighboring suburbs come to worship and develop their spiritual lives to become better people.  Volunteers to Feeding program enjoy meeting other people; providing lunch to Primary school students in the suburb who do not have lunch.,Y,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,,,1,0,0,15,32000,950,152081,185031,0,185031,65238,0,9953,0,74560,149751,35280,0,0,0,0,2288879,0,0,0,0,121579,2167300,0,0,N,
12584284291,The Trustee For Thomas Joseph Kelly Estate,REG,GPO Box 1461,,Melbourne,VIC,3001,Melbourne,Small,N,Grant-making activities,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,N,N,Uniting Aboriginal & Islander Christian Congress,Y,N,N,N,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,N,N,N,N,N,,,0,0,0,0,0,0,8287,8287,463,8750,0,0,7898,0,2644,10542,-1792,0,0,0,0,252024,0,0,0,0,0,252024,0,-1792,N,
